max_iter,L,neighbor,k,C,H,avg_fitness,std_fitness,avg_iter,avg_time,fitness_scores
100,50,scramble_mutation_optimized,3,200,0.99,72090.0,2625.43,75.47,0.61,"[67600.0, 69200.0, 73500.0, 73200.0, 72200.0, 73300.0, 72300.0, 75200.0, 69600.0, 72300.0, 75000.0, 69500.0, 71700.0, 71700.0, 70200.0, 78800.0, 73900.0, 76100.0, 74700.0, 68400.0, 74500.0, 68400.0, 72500.0, 68900.0, 72400.0, 68700.0, 72200.0, 75000.0, 70200.0, 71500.0]"
100,50,scramble_mutation_optimized,1,200,0.95,55546.67,3719.56,26.47,0.19,"[57100.0, 56400.0, 52800.0, 58200.0, 54000.0, 51000.0, 57400.0, 59000.0, 52400.0, 61900.0, 53500.0, 50700.0, 51600.0, 53900.0, 60600.0, 60100.0, 52200.0, 54700.0, 51700.0, 58200.0, 49500.0, 54900.0, 60700.0, 62600.0, 59800.0, 52800.0, 50800.0, 58300.0, 52300.0, 57300.0]"
100,50,scramble_mutation_optimized,2,200,0.95,60153.33,3852.85,23.43,0.17,"[56100.0, 57800.0, 63300.0, 58100.0, 60200.0, 54200.0, 58600.0, 61200.0, 62800.0, 57900.0, 59000.0, 57000.0, 60700.0, 63800.0, 56300.0, 63500.0, 59500.0, 62300.0, 63700.0, 59500.0, 52800.0, 63600.0, 53200.0, 55600.0, 58600.0, 63300.0, 69400.0, 62200.0, 66000.0, 64400.0]"
100,50,scramble_mutation_optimized,3,200,0.95,60556.67,3043.87,23.1,0.18,"[67300.0, 60100.0, 57000.0, 64000.0, 57700.0, 57300.0, 64100.0, 62600.0, 59700.0, 56500.0, 64300.0, 57800.0, 57300.0, 60700.0, 58000.0, 62800.0, 56600.0, 65400.0, 61000.0, 60700.0, 59100.0, 57300.0, 62600.0, 61700.0, 63600.0, 55900.0, 62500.0, 57800.0, 61500.0, 63800.0]"
100,50,scramble_mutation_optimized,1,200,0.9,49423.33,4017.52,14.33,0.11,"[42900.0, 50500.0, 52200.0, 48100.0, 50900.0, 49600.0, 55800.0, 49200.0, 50500.0, 53700.0, 48400.0, 43700.0, 50100.0, 41600.0, 51100.0, 51700.0, 48400.0, 45700.0, 47700.0, 55900.0, 42700.0, 53100.0, 53600.0, 56400.0, 46900.0, 49000.0, 43500.0, 53300.0, 51500.0, 45000.0]"
100,50,scramble_mutation_optimized,2,200,0.9,52533.33,3824.16,13.57,0.1,"[43100.0, 48900.0, 53300.0, 49800.0, 57700.0, 51400.0, 58300.0, 47700.0, 57300.0, 56600.0, 55500.0, 46700.0, 51400.0, 53100.0, 53700.0, 52500.0, 52900.0, 54600.0, 54700.0, 55500.0, 52900.0, 57900.0, 48500.0, 49400.0, 51300.0, 54800.0, 48900.0, 45900.0, 55700.0, 56000.0]"
100,50,scramble_mutation_optimized,3,200,0.9,54270.0,4089.35,13.67,0.1,"[46000.0, 49900.0, 52100.0, 57400.0, 56000.0, 57700.0, 46700.0, 56800.0, 48700.0, 61900.0, 55200.0, 61200.0, 57800.0, 59900.0, 55000.0, 50600.0, 53200.0, 55700.0, 54400.0, 55100.0, 50100.0, 52400.0, 60200.0, 52100.0, 52300.0, 56000.0, 57300.0, 55600.0, 52900.0, 47900.0]"
100,50,swap_mutation,,1,0.99,60483.33,3003.01,67.73,0.59,"[61500.0, 64000.0, 61300.0, 61500.0, 61200.0, 60100.0, 62000.0, 61200.0, 61800.0, 61900.0, 59000.0, 64200.0, 63900.0, 57000.0, 60300.0, 59100.0, 60800.0, 56700.0, 53300.0, 56200.0, 64900.0, 64900.0, 55800.0, 63700.0, 56200.0, 60000.0, 57000.0, 62600.0, 63900.0, 58500.0]"
100,50,swap_mutation,,1,0.95,62830.0,3496.01,71.73,0.55,"[58200.0, 58000.0, 64700.0, 58200.0, 68000.0, 67800.0, 63200.0, 58800.0, 64700.0, 62600.0, 61700.0, 65800.0, 62800.0, 65300.0, 60900.0, 58000.0, 61800.0, 63600.0, 64400.0, 60600.0, 62300.0, 67100.0, 70000.0, 63100.0, 65500.0, 64500.0, 63700.0, 56200.0, 56900.0, 66500.0]"
100,50,swap_mutation,,1,0.9,60576.67,2700.33,44.2,0.34,"[61500.0, 60500.0, 59600.0, 59900.0, 67200.0, 59400.0, 61700.0, 58300.0, 58500.0, 58100.0, 63200.0, 61800.0, 57300.0, 60300.0, 62500.0, 66000.0, 63300.0, 63300.0, 60400.0, 59200.0, 61600.0, 59300.0, 66200.0, 56500.0, 59900.0, 58600.0, 60100.0, 58800.0, 58400.0, 55900.0]"
100,50,swap_mutation,,10,0.99,62450.0,2988.84,65.83,0.5,"[58600.0, 60900.0, 61600.0, 59700.0, 65300.0, 61300.0, 62700.0, 62100.0, 60000.0, 67100.0, 66500.0, 60600.0, 62200.0, 66600.0, 54300.0, 65000.0, 62900.0, 63600.0, 66100.0, 60100.0, 61500.0, 62500.0, 61900.0, 60600.0, 67600.0, 64100.0, 59700.0, 61300.0, 59700.0, 67400.0]"
100,50,swap_mutation,,10,0.95,62233.33,3254.67,56.5,0.43,"[65500.0, 57200.0, 53300.0, 58100.0, 68100.0, 63800.0, 64500.0, 61000.0, 64200.0, 60300.0, 60100.0, 67900.0, 60000.0, 66500.0, 62200.0, 65400.0, 61800.0, 63700.0, 59800.0, 62900.0, 63100.0, 61800.0, 60200.0, 59000.0, 62000.0, 61400.0, 68200.0, 61200.0, 62900.0, 60900.0]"
100,50,swap_mutation,,10,0.9,60816.67,3238.12,31.87,0.24,"[55700.0, 62300.0, 60800.0, 60200.0, 58100.0, 59600.0, 62600.0, 57900.0, 70600.0, 62900.0, 61200.0, 55400.0, 63300.0, 59100.0, 60600.0, 60200.0, 57000.0, 59800.0, 63300.0, 60800.0, 61200.0, 55000.0, 58400.0, 63300.0, 63900.0, 66400.0, 63100.0, 60100.0, 63300.0, 58400.0]"
100,50,swap_mutation,,100,0.99,62600.0,2579.02,76.9,0.54,"[64500.0, 63200.0, 68000.0, 64800.0, 62400.0, 60700.0, 61900.0, 64100.0, 63500.0, 58700.0, 64200.0, 68000.0, 61200.0, 63500.0, 65000.0, 65100.0, 61700.0, 57300.0, 64700.0, 59400.0, 61600.0, 61000.0, 59600.0, 60200.0, 65300.0, 61400.0, 59100.0, 60100.0, 64200.0, 63600.0]"
100,50,swap_mutation,,100,0.95,59300.0,3318.23,27.23,0.2,"[59300.0, 57600.0, 56600.0, 58600.0, 54000.0, 59500.0, 58300.0, 64800.0, 56600.0, 56300.0, 59300.0, 55200.0, 59800.0, 60600.0, 56200.0, 59300.0, 61900.0, 59500.0, 59000.0, 60900.0, 67600.0, 58900.0, 61300.0, 53200.0, 60700.0, 57500.0, 57200.0, 66800.0, 64600.0, 57900.0]"
100,50,swap_mutation,,100,0.9,56150.0,3661.31,16.67,0.12,"[52900.0, 55600.0, 56500.0, 51500.0, 57200.0, 57200.0, 57500.0, 50800.0, 53400.0, 60600.0, 52500.0, 56700.0, 50100.0, 56400.0, 56600.0, 55600.0, 64000.0, 55500.0, 57500.0, 63100.0, 56900.0, 56600.0, 56400.0, 62900.0, 56000.0, 59200.0, 60900.0, 51900.0, 50200.0, 52300.0]"
100,50,swap_mutation,,200,0.99,61656.67,3492.92,62.0,0.44,"[59000.0, 58900.0, 60800.0, 62400.0, 61100.0, 56500.0, 63900.0, 66200.0, 61400.0, 56200.0, 63100.0, 60900.0, 64800.0, 70400.0, 61100.0, 55200.0, 60900.0, 61400.0, 65300.0, 61800.0, 64100.0, 65700.0, 63200.0, 60400.0, 64100.0, 55500.0, 66100.0, 62300.0, 56000.0, 61000.0]"
100,50,swap_mutation,,200,0.95,57260.0,2683.73,17.97,0.13,"[60900.0, 60100.0, 60000.0, 52800.0, 59200.0, 57700.0, 56400.0, 52000.0, 52000.0, 60600.0, 56600.0, 57100.0, 55100.0, 58100.0, 57400.0, 59500.0, 56600.0, 60600.0, 53200.0, 62100.0, 57400.0, 54500.0, 57300.0, 53900.0, 58300.0, 59000.0, 57400.0, 56700.0, 55400.0, 59900.0]"
100,50,swap_mutation,,200,0.9,52633.33,2885.75,11.03,0.08,"[55300.0, 52700.0, 51500.0, 54400.0, 48200.0, 55700.0, 56300.0, 48600.0, 56200.0, 48800.0, 52300.0, 51500.0, 52300.0, 50000.0, 52500.0, 49600.0, 56500.0, 50000.0, 46400.0, 55600.0, 55400.0, 56000.0, 50400.0, 56800.0, 54200.0, 52000.0, 51800.0, 53400.0, 55400.0, 49200.0]"
